Detector,Keypoints,Descriptor,Matcher,Descriptor Type,Selector,Detector time,Descriptor time,Total time
FAST,149,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00155044,0.25672,0.25827044
FAST,156,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00185205,0.256549,0.25840105
FAST,150,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00183945,0.255291,0.25713045
FAST,138,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00136191,0.256439,0.25780091
FAST,143,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00185924,0.257811,0.25967024
FAST,152,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.000958696,0.00136639,0.002325086
FAST,150,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00192061,0.000792672,0.002713282
FAST,155,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00192058,0.00137711,0.00329769
FAST,149,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.000899078,0.000783159,0.001682237
FAST,149,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00158923,0.00116943,0.00275866
FAST,156,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.000906005,0.00078148,0.001687485
FAST,150,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00133219,0.00107311,0.0024053
FAST,138,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00187983,0.00136955,0.00324938
FAST,143,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00114777,0.00089049,0.00203826
FAST,152,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.000935549,0.00436157,0.005297119
FAST,150,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00184666,0.00414869,0.00599535
FAST,155,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00129232,0.00598403,0.00727635
FAST,149,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00185033,0.00479695,0.00664728
FAST,149,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00169204,0.00520822,0.00690026
FAST,156,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00142024,0.00654536,0.0079656
FAST,150,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00183066,0.00483246,0.00666312
FAST,138,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00130325,0.00594779,0.00725104
FAST,143,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00185867,0.00476626,0.00662493
FAST,152,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.000929041,0.0407536,0.041682641
FAST,150,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00140392,0.0402534,0.04165732
FAST,155,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00109647,0.0384068,0.03950327
FAST,149,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00086755,0.036474,0.03734155
FAST,149,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.000869488,0.0367745,0.037643988
FAST,156,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00124614,0.03861,0.03985614
FAST,150,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00101201,0.037977,0.03898901
FAST,138,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00186342,0.0374154,0.03927882
FAST,143,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.000902596,0.0363705,0.037273096
FAST,152,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00114736,0.0186916,0.01983896
FAST,150,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00184357,0.0221004,0.02394397
FAST,155,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00184533,0.0181948,0.02004013
FAST,149,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00211655,0.017178,0.01929455
FAST,149,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00128856,0.0195018,0.02079036
FAST,156,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00185075,0.018747,0.02059775
FAST,150,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00182648,0.019855,0.02168148
FAST,138,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00186061,0.0175109,0.01937151
FAST,143,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00130005,0.020038,0.02133805
BRISK,282,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.284191,0.255147,0.539338
BRISK,282,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.28634,0.254105,0.540445
BRISK,277,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.287345,0.255887,0.543232
BRISK,297,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.28614,0.255058,0.541198
BRISK,279,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.292311,0.255494,0.547805
BRISK,289,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.288079,0.256496,0.544575
BRISK,272,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.285972,0.254542,0.540514
BRISK,266,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.285365,0.255933,0.541298
BRISK,254,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.285072,0.255684,0.540756
BRISK,282,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.28494,0.0011412,0.2860812
BRISK,282,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.292101,0.00113278,0.29323378
BRISK,277,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.283543,0.001112,0.284655
BRISK,297,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.288859,0.00119302,0.29005202
BRISK,279,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.283662,0.00115998,0.28482198
BRISK,289,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.28638,0.00114435,0.28752435
BRISK,272,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.284732,0.00113983,0.28587183
BRISK,266,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.286423,0.00108708,0.28751008
BRISK,254,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.289078,0.00106408,0.29014208
BRISK,282,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.285898,0.0128462,0.2987442
BRISK,282,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.290131,0.0128548,0.3029858
BRISK,277,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.305873,0.0129105,0.3187835
BRISK,297,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.290266,0.0129701,0.3032361
BRISK,279,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.285794,0.0128299,0.2986239
BRISK,289,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.287329,0.012767,0.300096
BRISK,272,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.284696,0.0127079,0.2974039
BRISK,266,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.286546,0.0128045,0.2993505
BRISK,254,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.286883,0.0129378,0.2998208
BRISK,282,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.288975,0.0393727,0.3283477
BRISK,282,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.287917,0.0395493,0.3274663
BRISK,277,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.286751,0.0372923,0.3240433
BRISK,297,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.289941,0.0374567,0.3273977
BRISK,279,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.291209,0.0378307,0.3290397
BRISK,289,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.290801,0.0375889,0.3283899
BRISK,272,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.285897,0.0376941,0.3235911
BRISK,266,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.287706,0.0373858,0.3250918
BRISK,254,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.28531,0.037403,0.322713
BRISK,282,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.284867,0.0300458,0.3149128
BRISK,282,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.285004,0.0341327,0.3191367
BRISK,277,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.285864,0.0339384,0.3198024
BRISK,297,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.28909,0.0335594,0.3226494
BRISK,279,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.291683,0.033836,0.325519
BRISK,289,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.288867,0.0323673,0.3212343
BRISK,272,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.285207,0.0312252,0.3164322
BRISK,266,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.285312,0.0311872,0.3164992
BRISK,254,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.287382,0.0305691,0.3179511
ORB,102,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00659944,0.254969,0.26156844
ORB,106,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00603677,0.252735,0.25877177
ORB,113,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0061018,0.254206,0.2603078
ORB,109,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00919173,0.252945,0.26213673
ORB,125,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00809904,0.25783,0.26592904
ORB,130,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00812641,0.253073,0.26119941
ORB,129,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00921265,0.256532,0.26574465
ORB,127,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00961736,0.256908,0.26652536
ORB,128,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00626095,0.255698,0.26195895
ORB,102,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00754546,0.000587699,0.008133159
ORB,106,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00803578,0.000766813,0.008802593
ORB,113,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00801184,0.000770463,0.008782303
ORB,109,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00723147,0.00067991,0.00791138
ORB,125,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00836756,0.000673612,0.009041172
ORB,130,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00631998,0.000687653,0.007007633
ORB,129,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00650411,0.00064577,0.00714988
